29,Do you need full octave (1/1) or third octave (1/3) real time analysis?,detection,task-based,Octave band measurement is commonly used in noise control environmental noise and hearing conservation when the frequency of a sound needs to be verified. Third octave analysis provides a more detailed analysis of the sound source.
30,Do you need full octave (1/1) or third octave (1/3) real time analysis?,detection,task-based,Octave band measurement is commonly used in noise control environmental noise and hearing conservation when the frequency of a sound needs to be verified. Third octave analysis provides a more detailed analysis of the sound source.
31,Select the type of hearing protection,protection,earplugs,Selecting the right type of hearing protection is critical for compliance. 3M offers a wide variety of earplug solutions so you can find the right fit for your unique needs and employees. 
32,Choose your range of Noise Reduction Rating (NRR).,protection,earplugs,'Noise Reduction Rating (NRR) is the measurement of how well a hearing protector reduces noise as specified by the Environmental Protection Agency. The higher the NRR number, the greater the noise reduction. While wearing hearing protection, the exposure to noise is equal to the total noise level minus the NRR of the hearing protection in use. For example, if exposed to 75db of noise while wearing protection with an NRR of 29, the actual noise exposure would be 46dB.'
33,Do you need corded or uncorded earplugs?,protection,earplugs,
34,Select the disposable earplug shape you prefer.,protection,earplugs,
35,Do you need corded or uncorded earplugs?,protection,earplugs,
36,Do you need corded or uncorded earplugs?,protection,earplugs,
37,What size earplugs are you looking for?,protection,earplugs,
38,What size earplugs are you looking for?,protection,earplugs,
39,Do you need metal detectable earplugs?,protection,earplugs,Metal detectable earplugs are ideal for use in food manufacturing industries when contamination prevention is critical.
40,Do you need corded or uncorded earplugs?,protection,earplugs,
41,What size earplugs are you looking for?,protection,earplugs,
42,What size earplugs are you looking for?,protection,earplugs,
43,Do you need metal detectable earplugs?,protection,earplugs,Metal detectable earplugs are ideal for use in food manufacturing industries when contamination prevention is critical.
44,Choose your range of Noise Reduction Rating (NRR).,protection,earplugs,'Noise Reduction Rating (NRR) is the measurement of how well a hearing protector reduces noise as specified by the Environmental Protection Agency. The higher the NRR number, the greater the noise reduction. While wearing hearing protection, the exposure to noise is equal to the total noise level minus the NRR of the hearing protection in use. For example, if exposed to 75db of noise while wearing protection with an NRR of 29, the actual noise exposure would be 46dB.'
45,Do you need corded or uncorded earplugs?,protection,earplugs,
46,Do you need metal detectable earplugs?,protection,earplugs,Metal detectable earplugs are ideal for use in food manufacturing industries when contamination prevention is critical.
47,Select the push-to-fit earplug shape you prefer.,protection,earplugs,
48,Do you need corded or uncorded earplugs?,protection,earplugs,
49,NULL,NULL,NULL,NULL
50,Do you need corded or uncorded earplugs?,protection,earplugs,
51,Choose your range of Noise Reduction Rating (NRR).,protection,earplugs,'Noise Reduction Rating (NRR) is the measurement of how well a hearing protector reduces noise as specified by the Environmental Protection Agency. The higher the NRR number, the greater the noise reduction. While wearing hearing protection, the exposure to noise is equal to the total noise level minus the NRR of the hearing protection in use. For example, if exposed to 75db of noise while wearing protection with an NRR of 29, the actual noise exposure would be 46dB.'
52,Select the push-to-fit earplug shape you prefer.,protection,earplugs,
53,Do you need corded or uncorded earplugs?,protection,earplugs,
54,Do you need corded or uncorded earplugs?,protection,earplugs,
55,Do you need metal detectable earplugs?,protection,earplugs,Metal detectable earplugs are ideal for use in food manufacturing industries when contamination prevention is critical.
56,Choose your style,protection,earmuffs,'Earmuffs are a great choice in hearing protection due to their ease of use and consistent fit. Available in headband, neckband and hard hat-attached styles, earmuffs help meet hearing protection needs in many applications. Choose the style of earmuffs for your hearing protection needs.'
57,Do you want a multipositionable headband?,protection,earmuffs,'Multipositionable headband earmuffs give you the flexibility to wear them over the head, under the chin or behind the neck.'
58,Choose your range of Noise Reduction Rating (NRR).,protection,earmuffs,'Noise Reduction Rating (NRR) is the measurement of how well a hearing protector reduces noise as specified by the Environmental Protection Agency. The higher the NRR number, the greater the noise reduction. While wearing hearing protection, the exposure to noise is equal to the total noise level minus the NRR of the hearing protection in use. For example, if exposed to 75db of noise while wearing protection with an NRR of 29, the actual noise exposure would be 46dB.'
59,Do you want electrically insulated earmuffs?,protection,earmuffs,'Electrically insulated (dielectric) earmuffs provide excellent hearing protection and comfort that’s non-conductive, to prevent build-up of static electricity in sensitive environments.**'
60,Do you want foldable headband earmuffs?,protection,earmuffs,Foldable headband earmuffs offer flexible hearing protection with the convenience of easy storage and portability.
61,Choose your range of Noise Reduction Rating (NRR).,protection,earmuffs,'Noise Reduction Rating (NRR) is the measurement of how well a hearing protector reduces noise as specified by the Environmental Protection Agency. The higher the NRR number, the greater the noise reduction. While wearing hearing protection, the exposure to noise is equal to the total noise level minus the NRR of the hearing protection in use. For example, if exposed to 75db of noise while wearing protection with an NRR of 29, the actual noise exposure would be 46dB.'
62,Do you want hear-through capable earmuffs?,protection,earmuffs,Hear-through earmuffs allow workers to listen safety without removing their hearing protection.
63,Choose your range of Noise Reduction Rating (NRR).,protection,earmuffs,'Noise Reduction Rating (NRR) is the measurement of how well a hearing protector reduces noise as specified by the Environmental Protection Agency. The higher the NRR number, the greater the noise reduction. While wearing hearing protection, the exposure to noise is equal to the total noise level minus the NRR of the hearing protection in use. For example, if exposed to 75db of noise while wearing protection with an NRR of 29, the actual noise exposure would be 46dB.'
64,Do you want electrically insulated earmuffs?,protection,earmuffs,'Electrically insulated (dielectric) earmuffs provide excellent hearing protection and comfort that’s non-conductive, to prevent build-up of static electricity in sensitive environments.**'
65,Do you want electrically insulated earmuffs?,protection,earmuffs,'Electrically insulated (dielectric) earmuffs provide excellent hearing protection and comfort that’s non-conductive, to prevent build-up of static electricity in sensitive environments.**'
66,Do you want electrically insulated earmuffs?,protection,earmuffs,'Electrically insulated (dielectric) earmuffs provide excellent hearing protection and comfort that’s non-conductive, to prevent build-up of static electricity in sensitive environments.**'
67,Choose your range of Noise Reduction Rating (NRR).,protection,earmuffs,'Noise Reduction Rating (NRR) is the measurement of how well a hearing protector reduces noise as specified by the Environmental Protection Agency. The higher the NRR number, the greater the noise reduction. While wearing hearing protection, the exposure to noise is equal to the total noise level minus the NRR of the hearing protection in use. For example, if exposed to 75db of noise while wearing protection with an NRR of 29, the actual noise exposure would be 46dB.'
68,Do you want hear-through capable earmuffs?,protection,earmuffs,Hear-through earmuffs allow workers to listen safety without removing their hearing protection.
69,Choose your range of Noise Reduction Rating (NRR).,protection,earmuffs,'Noise Reduction Rating (NRR) is the measurement of how well a hearing protector reduces noise as specified by the Environmental Protection Agency. The higher the NRR number, the greater the noise reduction. While wearing hearing protection, the exposure to noise is equal to the total noise level minus the NRR of the hearing protection in use. For example, if exposed to 75db of noise while wearing protection with an NRR of 29, the actual noise exposure would be 46dB.'
70,Do you want electrically insulated earmuffs?,protection,earmuffs,'Electrically insulated (dielectric) earmuffs provide excellent hearing protection and comfort that’s non-conductive, to prevent build-up of static electricity in sensitive environments.**'
71,Do you want electrically insulated earmuffs?,protection,earmuffs,'Electrically insulated (dielectric) earmuffs provide excellent hearing protection and comfort that’s non-conductive, to prevent build-up of static electricity in sensitive environments.**'
72,Choose your range of Noise Reduction Rating (NRR).,protection,banded,'Noise Reduction Rating (NRR) is the measurement of how well a hearing protector reduces noise as specified by the Environmental Protection Agency. The higher the NRR number, the greater the noise reduction. While wearing hearing protection, the exposure to noise is equal to the total noise level minus the NRR of the hearing protection in use. For example, if exposed to 75db of noise while wearing protection with an NRR of 29, the actual noise exposure would be 46dB.'
